valorTransac,ano,trimestre,transacciones,poblacion
22184921.099999998,2004,1,190442,42547454.0
28377885.099999998,2004,2,223895,42547454.0
25815818.4,2004,3,201089,42859172.0
30504462.200000003,2004,4,232964,42859172.0
27268283.4,2005,1,196438,43296335.0
34869047.2,2005,2,241398,43296335.0
31858350.3,2005,3,216333,43662613.0
37959242.1,2005,4,247405,43662613.0
37422216.5,2006,1,233669,44009969.0
41475361.5,2006,2,251649,44009969.0
36838832.8,2006,3,221610,44360521.0
42945537.3,2006,4,248258,44360521.0
38906160.9,2007,1,230755,44784659.0
39716359.3,2007,2,227562,44784659.0
31866536.6,2007,3,186504,45236004.0
33287841.0,2007,4,192050,45236004.0
27146850.4,2008,1,159088,45668938.0
26548177.7,2008,2,157008,45668938.0
20645429.8,2008,3,122949,45983169.0
20610976.7,2008,4,125419,45983169.0
16784525.4,2009,1,104703,46239271.0
19297587.2,2009,2,119938,46239271.0
17464385.0,2009,3,107534,46367550.0
21429636.7,2009,4,131544,46367550.0
17525536.6,2010,1,107079,46486621.0
25905388.6,2010,2,153164,46486621.0
12677608.1,2010,3,80550,46562483.0
24673638.7,2010,4,150494,46562483.0
10954978.7,2011,1,74455,46667175.0
13482830.3,2011,2,90756,46667175.0
11279291.9,2011,3,76534,46736257.0
15207290.9,2011,4,107373,46736257.0
9457664.0,2012,1,69420,46818216.0
11351394.3,2012,2,84289,46818216.0
9758046.9,2012,3,75313,46766403.0
17214938.4,2012,4,134601,46766403.0
6713009.4,2013,1,54835,46727890.0
10263565.0,2013,2,81472,46727890.0
9023231.3,2013,3,70604,46593236.0
12075864.9,2013,4,93657,46593236.0
10456493.3,2014,1,81516,46512199.0
11945079.5,2014,2,91769,46512199.0
10137299.8,2014,3,80388,46455123.0
14483237.5,2014,4,111948,46455123.0
10677434.5,2015,1,85605,46449565.0
13911463.6,2015,2,107043,46449565.0
12311620.8,2015,3,94035,46410149.0
15060939.0,2015,4,115030,46410149.0
13565863.2,2016,1,103592,46440099.0
16454078.3,2016,2,123438,46440099.0
13852836.8,2016,3,104143,46449874.0
16996505.4,2016,4,126565,46449874.0
16978520.8,2017,1,124756,46527039.0
19838286.9,2017,2,143761,46527039.0
16924725.0,2017,3,119162,46532869.0
20084850.9,2017,4,144582,46532869.0
18873795.5,2018,1,135438,46658447.0
23111676.3,2018,2,161374,46658447.0
19281405.0,2018,3,131800,46728814.0
22641799.7,2018,4,154276,46728814.0
20113309.7,2019,1,138374,46937060.0
22278709.0,2019,2,149600,46937060.0
19325444.7,2019,3,123687,47104229.0
24632580.1,2019,4,158332,47104229.0
18052229.0,2020,1,116029,47329981.0
12896981.8,2020,2,78972,47329981.0
